No,FileNo,FileCode,PhotoCode,ExpCode,sampleNumber,Exposure,ExpNo,Treatment,Host,HostCultivar,Dilution,isoRepNumber,techRepNumber,TreatmentCode,FinalpH,X1,Row,Column,chl
72,16,DSC_0504.ES14B_72.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0504,ES14B_72,sample1,WBExp_std,ES14B,DMCC2165,Tomato,SS100Hybrid,25fold,isoRep3,techRep3,ES14B_DMCC2165_Tomato_SS100Hybrid_25fold_isoRep3_techRep3,5.82,1,1,1,180.06
73,167,DSC_0604.ES14B_01.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0604,ES14B_01,sample2,WBExp_std,ES14B,Control,Soybean,AG4632,25fold,isoRep1,techRep1,ES14B_Control_Soybean_AG4632_25fold_isoRep1_techRep1,6.9,1,1,1,269.257
74,182,DSC_0613.ES14B_02.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0613,ES14B_02,sample2,WBExp_std,ES14B,Control,Soybean,AG4632,25fold,isoRep1,techRep2,ES14B_Control_Soybean_AG4632_25fold_isoRep1_techRep2,5.66,1,1,1,262.653
75,50,DSC_0526.ES14B_03.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0526,ES14B_03,sample2,WBExp_std,ES14B,Control,Soybean,AG4632,25fold,isoRep1,techRep3,ES14B_Control_Soybean_AG4632_25fold_isoRep1_techRep3,5.34,1,1,1,193.319
76,197,DSC_0623.ES14B_04.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0623,ES14B_04,sample2,WBExp_std,ES14B,Control,Soybean,AG4632,25fold,isoRep2,techRep1,ES14B_Control_Soybean_AG4632_25fold_isoRep2_techRep1,6.54,1,1,1,239.008
77,212,DSC_0633.ES14B_05.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0633,ES14B_05,sample2,WBExp_std,ES14B,Control,Soybean,AG4632,25fold,isoRep2,techRep2,ES14B_Control_Soybean_AG4632_25fold_isoRep2_techRep2,5.92,1,1,1,164.923
78,155,DSC_0595.ES14B_06.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0595,ES14B_06,sample2,WBExp_std,ES14B,Control,Soybean,AG4632,25fold,isoRep2,techRep3,ES14B_Control_Soybean_AG4632_25fold_isoRep2_techRep3,6.92,1,1,1,160.066
79,68,DSC_0537.ES14B_07.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0537,ES14B_07,sample2,WBExp_std,ES14B,Control,Soybean,AG4632,25fold,isoRep3,techRep1,ES14B_Control_Soybean_AG4632_25fold_isoRep3_techRep1,6.28,1,1,1,208.484
80,2,DSC_0494.ES14B_08.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0494,ES14B_08,sample2,WBExp_std,ES14B,Control,Soybean,AG4632,25fold,isoRep3,techRep2,ES14B_Control_Soybean_AG4632_25fold_isoRep3_techRep2,5.77,1,1,1,196.839
81,161,DSC_0599.ES14B_09.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0599,ES14B_09,sample2,WBExp_std,ES14B,Control,Soybean,AG4632,25fold,isoRep3,techRep3,ES14B_Control_Soybean_AG4632_25fold_isoRep3_techRep3,6.6,1,1,1,135.833
82,188,DSC_0617.ES14B_10.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0617,ES14B_10,sample2,WBExp_std,ES14B,Control,Peanut,GA06,25fold,isoRep1,techRep1,ES14B_Control_Peanut_GA06_25fold_isoRep1_techRep1,6.24,1,1,1,242.882
83,173,DSC_0608.ES14B_11.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0608,ES14B_11,sample2,WBExp_std,ES14B,Control,Peanut,GA06,25fold,isoRep1,techRep2,ES14B_Control_Peanut_GA06_25fold_isoRep1_techRep2,6.73,1,1,1,205.331
84,194,DSC_0621.ES14B_12.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0621,ES14B_12,sample2,WBExp_std,ES14B,Control,Peanut,GA06,25fold,isoRep1,techRep3,ES14B_Control_Peanut_GA06_25fold_isoRep1_techRep3,6.54,1,1,1,269.269
85,149,DSC_0591.ES14B_13.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0591,ES14B_13,sample2,WBExp_std,ES14B,Control,Peanut,GA06,25fold,isoRep2,techRep1,ES14B_Control_Peanut_GA06_25fold_isoRep2_techRep1,6.95,1,1,1,190.484
86,11,DSC_0500.ES14B_14.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0500,ES14B_14,sample2,WBExp_std,ES14B,Control,Peanut,GA06,25fold,isoRep2,techRep2,ES14B_Control_Peanut_GA06_25fold_isoRep2_techRep2,6.51,1,1,1,211.023
87,77,DSC_0544.ES14B_15.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0544,ES14B_15,sample2,WBExp_std,ES14B,Control,Peanut,GA06,25fold,isoRep2,techRep3,ES14B_Control_Peanut_GA06_25fold_isoRep2_techRep3,6.5,1,1,1,228.938
88,62,DSC_0533.ES14B_16.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0533,ES14B_16,sample2,WBExp_std,ES14B,Control,Peanut,GA06,25fold,isoRep3,techRep1,ES14B_Control_Peanut_GA06_25fold_isoRep3_techRep1,6.29,1,1,1,234.6
89,125,DSC_0576.ES14B_17.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0576,ES14B_17,sample2,WBExp_std,ES14B,Control,Peanut,GA06,25fold,isoRep3,techRep2,ES14B_Control_Peanut_GA06_25fold_isoRep3_techRep2,6.72,1,1,1,188.916
90,29,DSC_0511.ES14B_18.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0511,ES14B_18,sample2,WBExp_std,ES14B,Control,Peanut,GA06,25fold,isoRep3,techRep3,ES14B_Control_Peanut_GA06_25fold_isoRep3_techRep3,6.23,1,1,1,235.644
91,35,DSC_0516.ES14B_19.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0516,ES14B_19,sample2,WBExp_std,ES14B,Control,Cotton,DP0912-B2RF,25fold,isoRep1,techRep1,ES14B_Control_Cotton_DP0912-B2RF_25fold_isoRep1_techRep1,6.63,1,1,1,220.365
92,143,DSC_0588.ES14B_20.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0588,ES14B_20,sample2,WBExp_std,ES14B,Control,Cotton,DP0912-B2RF,25fold,isoRep1,techRep2,ES14B_Control_Cotton_DP0912-B2RF_25fold_isoRep1_techRep2,6.49,1,1,1,206.725
93,137,DSC_0584.ES14B_21.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0584,ES14B_21,sample2,WBExp_std,ES14B,Control,Cotton,DP0912-B2RF,25fold,isoRep1,techRep3,ES14B_Control_Cotton_DP0912-B2RF_25fold_isoRep1_techRep3,5.67,1,1,1,150.005
94,200,DSC_0626.ES14B_22.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0626,ES14B_22,sample2,WBExp_std,ES14B,Control,Cotton,DP0912-B2RF,25fold,isoRep2,techRep1,ES14B_Control_Cotton_DP0912-B2RF_25fold_isoRep2_techRep1,6.18,1,1,1,170.831
95,122,DSC_0573.ES14B_23.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0573,ES14B_23,sample2,WBExp_std,ES14B,Control,Cotton,DP0912-B2RF,25fold,isoRep2,techRep2,ES14B_Control_Cotton_DP0912-B2RF_25fold_isoRep2_techRep2,5.4,1,1,1,231.262
96,203,DSC_0627.ES14B_24.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0627,ES14B_24,sample2,WBExp_std,ES14B,Control,Cotton,DP0912-B2RF,25fold,isoRep2,techRep3,ES14B_Control_Cotton_DP0912-B2RF_25fold_isoRep2_techRep3,5.87,1,1,1,182.804
97,158,DSC_0598.ES14B_25.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0598,ES14B_25,sample2,WBExp_std,ES14B,Control,Cotton,DP0912-B2RF,25fold,isoRep3,techRep1,ES14B_Control_Cotton_DP0912-B2RF_25fold_isoRep3_techRep1,6.47,1,1,1,212.605
98,134,DSC_0582.ES14B_26.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0582,ES14B_26,sample2,WBExp_std,ES14B,Control,Cotton,DP0912-B2RF,25fold,isoRep3,techRep2,ES14B_Control_Cotton_DP0912-B2RF_25fold_isoRep3_techRep2,5.68,1,1,1,237.523
99,191,DSC_0620.ES14B_27.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0620,ES14B_27,sample2,WBExp_std,ES14B,Control,Cotton,DP0912-B2RF,25fold,isoRep3,techRep3,ES14B_Control_Cotton_DP0912-B2RF_25fold_isoRep3_techRep3,6.16,1,1,1,197.957
100,185,DSC_0615.ES14B_28.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0615,ES14B_28,sample2,WBExp_std,ES14B,Control,Tomato,SS100Hybrid,25fold,isoRep1,techRep1,ES14B_Control_Tomato_SS100Hybrid_25fold_isoRep1_techRep1,6.01,1,1,1,220.059
101,74,DSC_0541.ES14B_29.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0541,ES14B_29,sample2,WBExp_std,ES14B,Control,Tomato,SS100Hybrid,25fold,isoRep1,techRep2,ES14B_Control_Tomato_SS100Hybrid_25fold_isoRep1_techRep2,6.07,1,1,1,205.147
102,110,DSC_0566.ES14B_30.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0566,ES14B_30,sample2,WBExp_std,ES14B,Control,Tomato,SS100Hybrid,25fold,isoRep1,techRep3,ES14B_Control_Tomato_SS100Hybrid_25fold_isoRep1_techRep3,5.03,1,1,1,232.096
103,83,DSC_0547.ES14B_31.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0547,ES14B_31,sample2,WBExp_std,ES14B,Control,Tomato,SS100Hybrid,25fold,isoRep2,techRep1,ES14B_Control_Tomato_SS100Hybrid_25fold_isoRep2_techRep1,5.73,1,1,1,241.41
104,41,DSC_0519.ES14B_32.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0519,ES14B_32,sample2,WBExp_std,ES14B,Control,Tomato,SS100Hybrid,25fold,isoRep2,techRep2,ES14B_Control_Tomato_SS100Hybrid_25fold_isoRep2_techRep2,5.74,1,1,1,212.894
105,116,DSC_0569.ES14B_33.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0569,ES14B_33,sample2,WBExp_std,ES14B,Control,Tomato,SS100Hybrid,25fold,isoRep2,techRep3,ES14B_Control_Tomato_SS100Hybrid_25fold_isoRep2_techRep3,5.89,1,1,1,192.379
106,23,DSC_0507.ES14B_34.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0507,ES14B_34,sample2,WBExp_std,ES14B,Control,Tomato,SS100Hybrid,25fold,isoRep3,techRep1,ES14B_Control_Tomato_SS100Hybrid_25fold_isoRep3_techRep1,5.83,1,1,1,172.884
107,26,DSC_0509.ES14B_35.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0509,ES14B_35,sample2,WBExp_std,ES14B,Control,Tomato,SS100Hybrid,25fold,isoRep3,techRep2,ES14B_Control_Tomato_SS100Hybrid_25fold_isoRep3_techRep2,4.98,1,1,1,192.629
108,131,DSC_0580.ES14B_36.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0580,ES14B_36,sample2,WBExp_std,ES14B,Control,Tomato,SS100Hybrid,25fold,isoRep3,techRep3,ES14B_Control_Tomato_SS100Hybrid_25fold_isoRep3_techRep3,6.18,1,1,1,197.983
109,47,DSC_0523.ES14B_37.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0523,ES14B_37,sample2,WBExp_std,ES14B,DMCC2165,Soybean,AG4632,25fold,isoRep1,techRep1,ES14B_DMCC2165_Soybean_AG4632_25fold_isoRep1_techRep1,6.76,1,1,1,37.491
110,113,DSC_0568.ES14B_38.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0568,ES14B_38,sample2,WBExp_std,ES14B,DMCC2165,Soybean,AG4632,25fold,isoRep1,techRep2,ES14B_DMCC2165_Soybean_AG4632_25fold_isoRep1_techRep2,6.8,1,1,1,45.009
111,206,DSC_0630.ES14B_39.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0630,ES14B_39,sample2,WBExp_std,ES14B,DMCC2165,Soybean,AG4632,25fold,isoRep1,techRep3,ES14B_DMCC2165_Soybean_AG4632_25fold_isoRep1_techRep3,5.13,1,1,1,39.24
112,209,DSC_0632.ES14B_40.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0632,ES14B_40,sample2,WBExp_std,ES14B,DMCC2165,Soybean,AG4632,25fold,isoRep2,techRep1,ES14B_DMCC2165_Soybean_AG4632_25fold_isoRep2_techRep1,6.63,1,1,1,34.275
113,14,DSC_0502.ES14B_41.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0502,ES14B_41,sample2,WBExp_std,ES14B,DMCC2165,Soybean,AG4632,25fold,isoRep2,techRep2,ES14B_DMCC2165_Soybean_AG4632_25fold_isoRep2_techRep2,6.59,1,1,1,32.278
114,146,DSC_0589.ES14B_42.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0589,ES14B_42,sample2,WBExp_std,ES14B,DMCC2165,Soybean,AG4632,25fold,isoRep2,techRep3,ES14B_DMCC2165_Soybean_AG4632_25fold_isoRep2_techRep3,7.15,1,1,1,54.082
115,80,DSC_0545.ES14B_43.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0545,ES14B_43,sample2,WBExp_std,ES14B,DMCC2165,Soybean,AG4632,25fold,isoRep3,techRep1,ES14B_DMCC2165_Soybean_AG4632_25fold_isoRep3_techRep1,7.63,1,1,1,46.167
116,95,DSC_0555.ES14B_44.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0555,ES14B_44,sample2,WBExp_std,ES14B,DMCC2165,Soybean,AG4632,25fold,isoRep3,techRep2,ES14B_DMCC2165_Soybean_AG4632_25fold_isoRep3_techRep2,5.37,1,1,1,37.166
117,32,DSC_0513.ES14B_45.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0513,ES14B_45,sample2,WBExp_std,ES14B,DMCC2165,Soybean,AG4632,25fold,isoRep3,techRep3,ES14B_DMCC2165_Soybean_AG4632_25fold_isoRep3_techRep3,7.18,1,1,1,57.372
118,8,DSC_0498.ES14B_46.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0498,ES14B_46,sample2,WBExp_std,ES14B,DMCC2165,Peanut,GA06,25fold,isoRep1,techRep1,ES14B_DMCC2165_Peanut_GA06_25fold_isoRep1_techRep1,6.93,1,1,1,189.636
119,5,DSC_0496.ES14B_47.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0496,ES14B_47,sample2,WBExp_std,ES14B,DMCC2165,Peanut,GA06,25fold,isoRep1,techRep2,ES14B_DMCC2165_Peanut_GA06_25fold_isoRep1_techRep2,6.48,1,1,1,240.169
120,128,DSC_0578.ES14B_48.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0578,ES14B_48,sample2,WBExp_std,ES14B,DMCC2165,Peanut,GA06,25fold,isoRep1,techRep3,ES14B_DMCC2165_Peanut_GA06_25fold_isoRep1_techRep3,7.03,1,1,1,227.888
121,56,DSC_0529.ES14B_49.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0529,ES14B_49,sample2,WBExp_std,ES14B,DMCC2165,Peanut,GA06,25fold,isoRep2,techRep1,ES14B_DMCC2165_Peanut_GA06_25fold_isoRep2_techRep1,6.78,1,1,1,215.968
122,119,DSC_0571.ES14B_50.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0571,ES14B_50,sample2,WBExp_std,ES14B,DMCC2165,Peanut,GA06,25fold,isoRep2,techRep2,ES14B_DMCC2165_Peanut_GA06_25fold_isoRep2_techRep2,6.88,1,1,1,203.583
123,98,DSC_0558.ES14B_51.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0558,ES14B_51,sample2,WBExp_std,ES14B,DMCC2165,Peanut,GA06,25fold,isoRep2,techRep3,ES14B_DMCC2165_Peanut_GA06_25fold_isoRep2_techRep3,7.04,1,1,1,197.498
124,101,DSC_0559.ES14B_52.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0559,ES14B_52,sample2,WBExp_std,ES14B,DMCC2165,Peanut,GA06,25fold,isoRep3,techRep1,ES14B_DMCC2165_Peanut_GA06_25fold_isoRep3_techRep1,7.09,1,1,1,190.056
125,170,DSC_0606.ES14B_53.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0606,ES14B_53,sample2,WBExp_std,ES14B,DMCC2165,Peanut,GA06,25fold,isoRep3,techRep2,ES14B_DMCC2165_Peanut_GA06_25fold_isoRep3_techRep2,6.75,1,1,1,196.478
126,215,DSC_0635.ES14B_54.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0635,ES14B_54,sample2,WBExp_std,ES14B,DMCC2165,Peanut,GA06,25fold,isoRep3,techRep3,ES14B_DMCC2165_Peanut_GA06_25fold_isoRep3_techRep3,7.14,1,1,1,234.08
127,152,DSC_0594.ES14B_55.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0594,ES14B_55,sample2,WBExp_std,ES14B,DMCC2165,Cotton,DP0912-B2RF,25fold,isoRep1,techRep1,ES14B_DMCC2165_Cotton_DP0912-B2RF_25fold_isoRep1_techRep1,6.86,1,1,1,175.595
128,164,DSC_0602.ES14B_56.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0602,ES14B_56,sample2,WBExp_std,ES14B,DMCC2165,Cotton,DP0912-B2RF,25fold,isoRep1,techRep2,ES14B_DMCC2165_Cotton_DP0912-B2RF_25fold_isoRep1_techRep2,6.18,1,1,1,243.498
129,107,DSC_0563.ES14B_57.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0563,ES14B_57,sample2,WBExp_std,ES14B,DMCC2165,Cotton,DP0912-B2RF,25fold,isoRep1,techRep3,ES14B_DMCC2165_Cotton_DP0912-B2RF_25fold_isoRep1_techRep3,5.91,1,1,1,201.452
130,20,DSC_0506.ES14B_58.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0506,ES14B_58,sample2,WBExp_std,ES14B,DMCC2165,Cotton,DP0912-B2RF,25fold,isoRep2,techRep1,ES14B_DMCC2165_Cotton_DP0912-B2RF_25fold_isoRep2_techRep1,5.32,1,1,1,171.162
131,44,DSC_0521.ES14B_59.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0521,ES14B_59,sample2,WBExp_std,ES14B,DMCC2165,Cotton,DP0912-B2RF,25fold,isoRep2,techRep2,ES14B_DMCC2165_Cotton_DP0912-B2RF_25fold_isoRep2_techRep2,4.69,1,1,1,226.931
132,65,DSC_0535.ES14B_60.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0535,ES14B_60,sample2,WBExp_std,ES14B,DMCC2165,Cotton,DP0912-B2RF,25fold,isoRep2,techRep3,ES14B_DMCC2165_Cotton_DP0912-B2RF_25fold_isoRep2_techRep3,5.15,1,1,1,245.925
133,179,DSC_0611.ES14B_61.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0611,ES14B_61,sample2,WBExp_std,ES14B,DMCC2165,Cotton,DP0912-B2RF,25fold,isoRep3,techRep1,ES14B_DMCC2165_Cotton_DP0912-B2RF_25fold_isoRep3_techRep1,4.99,1,1,1,156.843
134,86,DSC_0550.ES14B_62.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0550,ES14B_62,sample2,WBExp_std,ES14B,DMCC2165,Cotton,DP0912-B2RF,25fold,isoRep3,techRep2,ES14B_DMCC2165_Cotton_DP0912-B2RF_25fold_isoRep3_techRep2,4.97,1,1,1,207.022
135,92,DSC_0553.ES14B_63.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0553,ES14B_63,sample2,WBExp_std,ES14B,DMCC2165,Cotton,DP0912-B2RF,25fold,isoRep3,techRep3,ES14B_DMCC2165_Cotton_DP0912-B2RF_25fold_isoRep3_techRep3,6.44,1,1,1,202.668
136,104,DSC_0561.ES14B_64.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0561,ES14B_64,sample2,WBExp_std,ES14B,DMCC2165,Tomato,SS100Hybrid,25fold,isoRep1,techRep1,ES14B_DMCC2165_Tomato_SS100Hybrid_25fold_isoRep1_techRep1,6.21,1,1,1,199.867
137,38,DSC_0518.ES14B_65.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0518,ES14B_65,sample2,WBExp_std,ES14B,DMCC2165,Tomato,SS100Hybrid,25fold,isoRep1,techRep2,ES14B_DMCC2165_Tomato_SS100Hybrid_25fold_isoRep1_techRep2,6.14,1,1,1,187.942
138,59,DSC_0531.ES14B_66.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0531,ES14B_66,sample2,WBExp_std,ES14B,DMCC2165,Tomato,SS100Hybrid,25fold,isoRep1,techRep3,ES14B_DMCC2165_Tomato_SS100Hybrid_25fold_isoRep1_techRep3,6.25,1,1,1,222.29
139,89,DSC_0551.ES14B_67.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0551,ES14B_67,sample2,WBExp_std,ES14B,DMCC2165,Tomato,SS100Hybrid,25fold,isoRep2,techRep1,ES14B_DMCC2165_Tomato_SS100Hybrid_25fold_isoRep2_techRep1,5.16,1,1,1,182.931
140,53,DSC_0527.ES14B_68.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0527,ES14B_68,sample2,WBExp_std,ES14B,DMCC2165,Tomato,SS100Hybrid,25fold,isoRep2,techRep2,ES14B_DMCC2165_Tomato_SS100Hybrid_25fold_isoRep2_techRep2,6.27,1,1,1,168.935
141,71,DSC_0539.ES14B_69.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0539,ES14B_69,sample2,WBExp_std,ES14B,DMCC2165,Tomato,SS100Hybrid,25fold,isoRep2,techRep3,ES14B_DMCC2165_Tomato_SS100Hybrid_25fold_isoRep2_techRep3,6.16,1,1,1,187.675
142,140,DSC_0585.ES14B_70.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0585,ES14B_70,sample2,WBExp_std,ES14B,DMCC2165,Tomato,SS100Hybrid,25fold,isoRep3,techRep1,ES14B_DMCC2165_Tomato_SS100Hybrid_25fold_isoRep3_techRep1,5.91,1,1,1,164.582
143,176,DSC_0609.ES14B_71.sample2.WBExp_std.clean.jpg.chl.csv,DSC_0609,ES14B_71,sample2,WBExp_std,ES14B,DMCC2165,Tomato,SS100Hybrid,25fold,isoRep3,techRep2,ES14B_DMCC2165_Tomato_SS100Hybrid_25fold_isoRep3_techRep2,6.25,1,1,1,238.77
