,No,ExpNo,FileCode,PhotoCode,ExtractionType,ExpCode,DAI,Host,HostVariety,Treatment,Condition,Dilution,techRepNumber,isoRepNumber,sampleNumber,ExposureTreatment,chl,ES5_digital_WBonly_T_tuk
1,1,ES5,DSC_0054.sample1.clean.jpg,NA,Digital,ES5_1,7DAI,Soybean,AG4632,control,Shaking,25fold,stemRep1,isolateRep1,sample1,WB_only,172.8,28.47104644
2,2,ES5,DSC_0054.sample2.clean.jpg,NA,Digital,ES5_1,7DAI,Soybean,AG4632,control,Shaking,25fold,stemRep1,isolateRep1,sample2,WB_only,211.5,32.46771623
3,3,ES5,DSC_0054.sample3.clean.jpg,NA,Digital,ES5_1,7DAI,Soybean,AG4632,control,Shaking,25fold,stemRep1,isolateRep1,sample3,WB_only,249,36.10185982
4,4,ES5,DSC_0255.sample1.clean.jpg,NA,Digital,ES5_2,7DAI,Soybean,AG4632,control,Shaking,25fold,stemRep2,isolateRep1,sample1,WB_only,185.2,29.78287636
5,5,ES5,DSC_0255.sample2.clean.jpg,NA,Digital,ES5_2,7DAI,Soybean,AG4632,control,Shaking,25fold,stemRep2,isolateRep1,sample2,WB_only,210.3,32.34785794
6,6,ES5,DSC_0255.sample3.clean.jpg,NA,Digital,ES5_2,7DAI,Soybean,AG4632,control,Shaking,25fold,stemRep2,isolateRep1,sample3,WB_only,214.2,32.73653075
7,7,ES5,DSC_0618.sample1.clean.jpg,NA,Digital,ES5_3,7DAI,Soybean,AG4632,control,Shaking,25fold,stemRep3,isolateRep1,sample1,WB_only,231.9,34.47033361
8,8,ES5,DSC_0618.sample2.clean.jpg,NA,Digital,ES5_3,7DAI,Soybean,AG4632,control,Shaking,25fold,stemRep3,isolateRep1,sample2,WB_only,193.1,30.60261073
9,9,ES5,DSC_0618.sample3.clean.jpg,NA,Digital,ES5_3,7DAI,Soybean,AG4632,control,Shaking,25fold,stemRep3,isolateRep1,sample3,WB_only,217.6,33.07335703
10,10,ES5,DSC_0173.sample1.clean.jpg,NA,Digital,ES5_4,7DAI,Soybean,AG4632,control,Stationary,25fold,stemRep1,isolateRep1,sample1,WB_only,176.3,28.84456561
11,11,ES5,DSC_0173.sample2.clean.jpg,NA,Digital,ES5_4,7DAI,Soybean,AG4632,control,Stationary,25fold,stemRep1,isolateRep1,sample2,WB_only,235.4,34.8076095
12,12,ES5,DSC_0173.sample3.clean.jpg,NA,Digital,ES5_4,7DAI,Soybean,AG4632,control,Stationary,25fold,stemRep1,isolateRep1,sample3,WB_only,248.8,36.08300881
13,13,ES5,DSC_0140.sample1.clean.jpg,NA,Digital,ES5_5,7DAI,Soybean,AG4632,control,Stationary,25fold,stemRep2,isolateRep1,sample1,WB_only,211.4,32.45773715
14,14,ES5,DSC_0140.sample2.clean.jpg,NA,Digital,ES5_5,7DAI,Soybean,AG4632,control,Stationary,25fold,stemRep2,isolateRep1,sample2,WB_only,261.3,37.25122992
15,15,ES5,DSC_0140.sample3.clean.jpg,NA,Digital,ES5_5,7DAI,Soybean,AG4632,control,Stationary,25fold,stemRep2,isolateRep1,sample3,WB_only,298.2,40.59102007
16,16,ES5,DSC_0629.sample1.clean.jpg,NA,Digital,ES5_6,7DAI,Soybean,AG4632,control,Stationary,25fold,stemRep3,isolateRep1,sample1,WB_only,178.1,29.03564966
17,17,ES5,DSC_0629.sample2.clean.jpg,NA,Digital,ES5_6,7DAI,Soybean,AG4632,control,Stationary,25fold,stemRep3,isolateRep1,sample2,WB_only,249.5,36.14896418
18,18,ES5,DSC_0629.sample3.clean.jpg,NA,Digital,ES5_6,7DAI,Soybean,AG4632,control,Stationary,25fold,stemRep3,isolateRep1,sample3,WB_only,303.7,41.0760917
19,19,ES5,DSC_0609.sample1.clean.jpg,NA,Digital,ES5_7,7DAI,Soybean,AG4632,control,Shaking,100fold,stemRep1,isolateRep1,sample1,WB_only,159.2,26.99373569
20,20,ES5,DSC_0609.sample2.clean.jpg,NA,Digital,ES5_7,7DAI,Soybean,AG4632,control,Shaking,100fold,stemRep1,isolateRep1,sample2,WB_only,204,31.71462706
21,21,ES5,DSC_0609.sample3.clean.jpg,NA,Digital,ES5_7,7DAI,Soybean,AG4632,control,Shaking,100fold,stemRep1,isolateRep1,sample3,WB_only,261.7,37.28828589
22,22,ES5,DSC_0142.sample1.clean.jpg,NA,Digital,ES5_8,7DAI,Soybean,AG4632,control,Shaking,100fold,stemRep2,isolateRep1,sample1,WB_only,201.8,31.49189213
23,23,ES5,DSC_0142.sample2.clean.jpg,NA,Digital,ES5_8,7DAI,Soybean,AG4632,control,Shaking,100fold,stemRep2,isolateRep1,sample2,WB_only,243.5,35.58150615
24,24,ES5,DSC_0142.sample3.clean.jpg,NA,Digital,ES5_8,7DAI,Soybean,AG4632,control,Shaking,100fold,stemRep2,isolateRep1,sample3,WB_only,254.7,36.63690803
25,25,ES5,DSC_0013.sample1.clean.jpg,NA,Digital,ES5_9,7DAI,Soybean,AG4632,control,Shaking,100fold,stemRep3,isolateRep1,sample1,WB_only,193.7,30.66438461
26,26,ES5,DSC_0013.sample2.clean.jpg,NA,Digital,ES5_9,7DAI,Soybean,AG4632,control,Shaking,100fold,stemRep3,isolateRep1,sample2,WB_only,104,20.46782384
27,27,ES5,DSC_0013.sample3.clean.jpg,NA,Digital,ES5_9,7DAI,Soybean,AG4632,control,Shaking,100fold,stemRep3,isolateRep1,sample3,WB_only,125.5,23.12695321
28,28,ES5,DSC_0614.sample1.clean.jpg,NA,Digital,ES5_10,7DAI,Soybean,AG4632,control,Stationary,100fold,stemRep1,isolateRep1,sample1,WB_only,198.1,31.11536566
29,29,ES5,DSC_0614.sample2.clean.jpg,NA,Digital,ES5_10,7DAI,Soybean,AG4632,control,Stationary,100fold,stemRep1,isolateRep1,sample2,WB_only,236.8,34.94202771
30,30,ES5,DSC_0614.sample3.clean.jpg,NA,Digital,ES5_10,7DAI,Soybean,AG4632,control,Stationary,100fold,stemRep1,isolateRep1,sample3,WB_only,289.5,39.81727817
31,31,ES5,DSC_0624.sample1.clean.jpg,NA,Digital,ES5_11,7DAI,Soybean,AG4632,control,Stationary,100fold,stemRep2,isolateRep1,sample1,WB_only,231.8,34.46067108
32,32,ES5,DSC_0624.sample2.clean.jpg,NA,Digital,ES5_11,7DAI,Soybean,AG4632,control,Stationary,100fold,stemRep2,isolateRep1,sample2,WB_only,251.2,36.30887249
33,33,ES5,DSC_0624.sample3.clean.jpg,NA,Digital,ES5_11,7DAI,Soybean,AG4632,control,Stationary,100fold,stemRep2,isolateRep1,sample3,WB_only,372.6,46.91458218
34,34,ES5,DSC_0193.sample1.clean.jpg,NA,Digital,ES5_12,7DAI,Soybean,AG4632,control,Stationary,100fold,stemRep3,isolateRep1,sample1,WB_only,225.3,33.82943735
35,35,ES5,DSC_0193.sample2.clean.jpg,NA,Digital,ES5_12,7DAI,Soybean,AG4632,control,Stationary,100fold,stemRep3,isolateRep1,sample2,WB_only,235.8,34.84604318
36,36,ES5,DSC_0193.sample3.clean.jpg,NA,Digital,ES5_12,7DAI,Soybean,AG4632,control,Stationary,100fold,stemRep3,isolateRep1,sample3,WB_only,270.8,38.12603384
37,37,ES5,DSC_0148.sample1.clean.jpg,NA,Digital,ES5_13,7DAI,Soybean,AG4632,DMCC2126,Shaking,25fold,stemRep1,isolateRep1,sample1,WB_only,93.3,19.07317829
38,38,ES5,DSC_0148.sample2.clean.jpg,NA,Digital,ES5_13,7DAI,Soybean,AG4632,DMCC2126,Shaking,25fold,stemRep1,isolateRep1,sample2,WB_only,93.7,19.1262899
39,39,ES5,DSC_0148.sample3.clean.jpg,NA,Digital,ES5_13,7DAI,Soybean,AG4632,DMCC2126,Shaking,25fold,stemRep1,isolateRep1,sample3,WB_only,95.8,19.40383535
40,40,ES5,DSC_0144.sample1.clean.jpg,NA,Digital,ES5_14,7DAI,Soybean,AG4632,DMCC2126,Shaking,25fold,stemRep2,isolateRep1,sample1,WB_only,131.5,23.83975234
41,41,ES5,DSC_0144.sample2.clean.jpg,NA,Digital,ES5_14,7DAI,Soybean,AG4632,DMCC2126,Shaking,25fold,stemRep2,isolateRep1,sample2,WB_only,130.7,23.74538043
42,42,ES5,DSC_0144.sample3.clean.jpg,NA,Digital,ES5_14,7DAI,Soybean,AG4632,DMCC2126,Shaking,25fold,stemRep2,isolateRep1,sample3,WB_only,140.8,24.92250694
43,43,ES5,DSC_0196.sample1.clean.jpg,NA,Digital,ES5_15,7DAI,Soybean,AG4632,DMCC2126,Shaking,25fold,stemRep3,isolateRep1,sample1,WB_only,81.8,17.51014117
44,44,ES5,DSC_0196.sample2.clean.jpg,NA,Digital,ES5_15,7DAI,Soybean,AG4632,DMCC2126,Shaking,25fold,stemRep3,isolateRep1,sample2,WB_only,66.5,15.30502592
45,45,ES5,DSC_0196.sample3.clean.jpg,NA,Digital,ES5_15,7DAI,Soybean,AG4632,DMCC2126,Shaking,25fold,stemRep3,isolateRep1,sample3,WB_only,83.6,17.75963682
46,46,ES5,DSC_0068.sample1.clean.jpg,NA,Digital,ES5_16,7DAI,Soybean,AG4632,DMCC2126,Stationary,25fold,stemRep1,isolateRep1,sample1,WB_only,36,10.27061916
47,47,ES5,DSC_0068.sample2.clean.jpg,NA,Digital,ES5_16,7DAI,Soybean,AG4632,DMCC2126,Stationary,25fold,stemRep1,isolateRep1,sample2,WB_only,39.4,10.89112002
48,48,ES5,DSC_0068.sample3.clean.jpg,NA,Digital,ES5_16,7DAI,Soybean,AG4632,DMCC2126,Stationary,25fold,stemRep1,isolateRep1,sample3,WB_only,53.1,13.22243494
49,49,ES5,DSC_0658.sample1.clean.jpg,NA,Digital,ES5_17,7DAI,Soybean,AG4632,DMCC2126,Stationary,25fold,stemRep2,isolateRep1,sample1,WB_only,85,17.95239113
50,50,ES5,DSC_0658.sample2.clean.jpg,NA,Digital,ES5_17,7DAI,Soybean,AG4632,DMCC2126,Stationary,25fold,stemRep2,isolateRep1,sample2,WB_only,75.8,16.66421974
51,51,ES5,DSC_0658.sample3.clean.jpg,NA,Digital,ES5_17,7DAI,Soybean,AG4632,DMCC2126,Stationary,25fold,stemRep2,isolateRep1,sample3,WB_only,57.6,13.94038006
52,52,ES5,DSC_0107.sample1.clean.jpg,NA,Digital,ES5_18,7DAI,Soybean,AG4632,DMCC2126,Stationary,25fold,stemRep3,isolateRep1,sample1,WB_only,235.3,34.79799751
53,53,ES5,DSC_0107.sample2.clean.jpg,NA,Digital,ES5_18,7DAI,Soybean,AG4632,DMCC2126,Stationary,25fold,stemRep3,isolateRep1,sample2,WB_only,252.9,36.46840247
54,54,ES5,DSC_0107.sample3.clean.jpg,NA,Digital,ES5_18,7DAI,Soybean,AG4632,DMCC2126,Stationary,25fold,stemRep3,isolateRep1,sample3,WB_only,277.2,38.70932487
55,55,ES5,DSC_0220.sample1.clean.jpg,NA,Digital,ES5_19,7DAI,Soybean,AG4632,DMCC2126,Shaking,100fold,stemRep1,isolateRep1,sample1,WB_only,49.9,12.69887811
56,56,ES5,DSC_0220.sample2.clean.jpg,NA,Digital,ES5_19,7DAI,Soybean,AG4632,DMCC2126,Shaking,100fold,stemRep1,isolateRep1,sample2,WB_only,48,12.38245631
57,57,ES5,DSC_0220.sample3.clean.jpg,NA,Digital,ES5_19,7DAI,Soybean,AG4632,DMCC2126,Shaking,100fold,stemRep1,isolateRep1,sample3,WB_only,84.5,17.88367879
58,58,ES5,NA,NA,Digital,ES5_20,7DAI,Soybean,AG4632,DMCC2126,Shaking,100fold,stemRep2,isolateRep1,sample1,WB_only,NA,NA
59,59,ES5,NA,NA,Digital,ES5_20,7DAI,Soybean,AG4632,DMCC2126,Shaking,100fold,stemRep2,isolateRep1,sample2,WB_only,NA,NA
60,60,ES5,NA,NA,Digital,ES5_20,7DAI,Soybean,AG4632,DMCC2126,Shaking,100fold,stemRep2,isolateRep1,sample3,WB_only,NA,NA
61,61,ES5,DSC_0128.sample1.clean.jpg,NA,Digital,ES5_21,7DAI,Soybean,AG4632,DMCC2126,Shaking,100fold,stemRep3,isolateRep1,sample1,WB_only,177.6,28.98263884
62,62,ES5,DSC_0128.sample2.clean.jpg,NA,Digital,ES5_21,7DAI,Soybean,AG4632,DMCC2126,Shaking,100fold,stemRep3,isolateRep1,sample2,WB_only,204.8,31.79541289
63,63,ES5,DSC_0128.sample3.clean.jpg,NA,Digital,ES5_21,7DAI,Soybean,AG4632,DMCC2126,Shaking,100fold,stemRep3,isolateRep1,sample3,WB_only,217.1,33.0239399
64,64,ES5,DSC_0235.sample1.clean.jpg,NA,Digital,ES5_22,7DAI,Soybean,AG4632,DMCC2126,Stationary,100fold,stemRep1,isolateRep1,sample1,WB_only,164.2,27.54181453
65,65,ES5,DSC_0235.sample2.clean.jpg,NA,Digital,ES5_22,7DAI,Soybean,AG4632,DMCC2126,Stationary,100fold,stemRep1,isolateRep1,sample2,WB_only,161.2,27.21368004
66,66,ES5,DSC_0235.sample3.clean.jpg,NA,Digital,ES5_22,7DAI,Soybean,AG4632,DMCC2126,Stationary,100fold,stemRep1,isolateRep1,sample3,WB_only,128.6,23.49668689
67,67,ES5,DSC_0660.sample1.clean.jpg,NA,Digital,ES5_23,7DAI,Soybean,AG4632,DMCC2126,Stationary,100fold,stemRep2,isolateRep1,sample1,WB_only,207.4,32.05720754
68,68,ES5,DSC_0660.sample2.clean.jpg,NA,Digital,ES5_23,7DAI,Soybean,AG4632,DMCC2126,Stationary,100fold,stemRep2,isolateRep1,sample2,WB_only,228.7,34.16040469
69,69,ES5,DSC_0660.sample3.clean.jpg,NA,Digital,ES5_23,7DAI,Soybean,AG4632,DMCC2126,Stationary,100fold,stemRep2,isolateRep1,sample3,WB_only,240.3,35.27686239
70,70,ES5,DSC_0070.sample1.clean.jpg,NA,Digital,ES5_24,7DAI,Soybean,AG4632,DMCC2126,Stationary,100fold,stemRep3,isolateRep1,sample1,WB_only,97.2,19.58768324
71,71,ES5,DSC_0070.sample2.clean.jpg,NA,Digital,ES5_24,7DAI,Soybean,AG4632,DMCC2126,Stationary,100fold,stemRep3,isolateRep1,sample2,WB_only,180,29.23661766
72,72,ES5,DSC_0070.sample3.clean.jpg,NA,Digital,ES5_24,7DAI,Soybean,AG4632,DMCC2126,Stationary,100fold,stemRep3,isolateRep1,sample3,WB_only,189.6,30.24091423
73,73,ES5,DSC_0647.sample1.clean.jpg,NA,Digital,ES5_25,7DAI,Soybean,AG4632,DMCC2127,Shaking,100fold,stemRep1,isolateRep1,sample1,WB_only,72.2,16.14541373
74,74,ES5,DSC_0647.sample2.clean.jpg,NA,Digital,ES5_25,7DAI,Soybean,AG4632,DMCC2127,Shaking,100fold,stemRep1,isolateRep1,sample2,WB_only,106,20.72281798
75,75,ES5,DSC_0647.sample3.clean.jpg,NA,Digital,ES5_25,7DAI,Soybean,AG4632,DMCC2127,Shaking,100fold,stemRep1,isolateRep1,sample3,WB_only,123.4,22.87467086
76,76,ES5,DSC_0049.sample1.clean.jpg,NA,Digital,ES5_26,7DAI,Soybean,AG4632,DMCC2127,Shaking,100fold,stemRep2,isolateRep1,sample1,WB_only,99,19.82270311
77,77,ES5,DSC_0049.sample2.clean.jpg,NA,Digital,ES5_26,7DAI,Soybean,AG4632,DMCC2127,Shaking,100fold,stemRep2,isolateRep1,sample2,WB_only,93.8,19.13955539
78,78,ES5,DSC_0049.sample3.clean.jpg,NA,Digital,ES5_26,7DAI,Soybean,AG4632,DMCC2127,Shaking,100fold,stemRep2,isolateRep1,sample3,WB_only,119.6,22.41430446
79,79,ES5,DSC_0132.sample1.clean.jpg,NA,Digital,ES5_27,7DAI,Soybean,AG4632,DMCC2127,Shaking,100fold,stemRep3,isolateRep1,sample1,WB_only,154,26.41730246
80,80,ES5,DSC_0132.sample2.clean.jpg,NA,Digital,ES5_27,7DAI,Soybean,AG4632,DMCC2127,Shaking,100fold,stemRep3,isolateRep1,sample2,WB_only,190.5,30.33414351
81,81,ES5,DSC_0132.sample3.clean.jpg,NA,Digital,ES5_27,7DAI,Soybean,AG4632,DMCC2127,Shaking,100fold,stemRep3,isolateRep1,sample3,WB_only,156.5,26.69527028
82,82,ES5,DSC_0645.sample1.clean.jpg,NA,Digital,ES5_28,7DAI,Soybean,AG4632,DMCC2127,Stationary,25fold,stemRep1,isolateRep1,sample1,WB_only,185.2,29.78287636
83,83,ES5,DSC_0645.sample2.clean.jpg,NA,Digital,ES5_28,7DAI,Soybean,AG4632,DMCC2127,Stationary,25fold,stemRep1,isolateRep1,sample2,WB_only,218,33.11286213
84,84,ES5,DSC_0645.sample3.clean.jpg,NA,Digital,ES5_28,7DAI,Soybean,AG4632,DMCC2127,Stationary,25fold,stemRep1,isolateRep1,sample3,WB_only,234.4,34.71142514
85,85,ES5,DSC_0052.sample1.clean.jpg,NA,Digital,ES5_29,7DAI,Soybean,AG4632,DMCC2127,Stationary,25fold,stemRep2,isolateRep1,sample1,WB_only,129.1,23.55602776
86,86,ES5,DSC_0052.sample2.clean.jpg,NA,Digital,ES5_29,7DAI,Soybean,AG4632,DMCC2127,Stationary,25fold,stemRep2,isolateRep1,sample2,WB_only,59.2,14.19087287
87,87,ES5,DSC_0052.sample3.clean.jpg,NA,Digital,ES5_29,7DAI,Soybean,AG4632,DMCC2127,Stationary,25fold,stemRep2,isolateRep1,sample3,WB_only,53.1,13.22243494
88,88,ES5,DSC_0093.sample1.clean.jpg,NA,Digital,ES5_30,7DAI,Soybean,AG4632,DMCC2127,Stationary,25fold,stemRep3,isolateRep1,sample1,WB_only,131.2,23.80438648
89,89,ES5,DSC_0093.sample2.clean.jpg,NA,Digital,ES5_30,7DAI,Soybean,AG4632,DMCC2127,Stationary,25fold,stemRep3,isolateRep1,sample2,WB_only,275.8,38.58213623
90,90,ES5,DSC_0093.sample3.clean.jpg,NA,Digital,ES5_30,7DAI,Soybean,AG4632,DMCC2127,Stationary,25fold,stemRep3,isolateRep1,sample3,WB_only,296,40.39611614
91,91,ES5,DSC_0134.sample1.clean.jpg,NA,Digital,ES5_31,7DAI,Soybean,AG4632,DMCC2127,Shaking,25fold,stemRep1,isolateRep1,sample1,WB_only,65,15.07973403
92,92,ES5,DSC_0134.sample2.clean.jpg,NA,Digital,ES5_31,7DAI,Soybean,AG4632,DMCC2127,Shaking,25fold,stemRep1,isolateRep1,sample2,WB_only,38.7,10.76495273
93,93,ES5,DSC_0134.sample3.clean.jpg,NA,Digital,ES5_31,7DAI,Soybean,AG4632,DMCC2127,Shaking,25fold,stemRep1,isolateRep1,sample3,WB_only,45.4,11.94225401
94,94,ES5,DSC_0643.sample1.clean.jpg,NA,Digital,ES5_32,7DAI,Soybean,AG4632,DMCC2127,Shaking,25fold,stemRep2,isolateRep1,sample1,WB_only,56.2,13.71919424
95,95,ES5,DSC_0643.sample2.clean.jpg,NA,Digital,ES5_32,7DAI,Soybean,AG4632,DMCC2127,Shaking,25fold,stemRep2,isolateRep1,sample2,WB_only,75.1,16.56402812
96,96,ES5,DSC_0643.sample3.clean.jpg,NA,Digital,ES5_32,7DAI,Soybean,AG4632,DMCC2127,Shaking,25fold,stemRep2,isolateRep1,sample3,WB_only,117.6,22.16995232
97,97,ES5,DSC_0212.sample1.clean.jpg,NA,Digital,ES5_33,7DAI,Soybean,AG4632,DMCC2127,Shaking,25fold,stemRep3,isolateRep1,sample1,WB_only,98.8,19.79666409
98,98,ES5,DSC_0212.sample2.clean.jpg,NA,Digital,ES5_33,7DAI,Soybean,AG4632,DMCC2127,Shaking,25fold,stemRep3,isolateRep1,sample2,WB_only,66.1,15.24512356
99,99,ES5,DSC_0212.sample3.clean.jpg,NA,Digital,ES5_33,7DAI,Soybean,AG4632,DMCC2127,Shaking,25fold,stemRep3,isolateRep1,sample3,WB_only,52.8,13.17382984
100,100,ES5,DSC_0631.sample1.clean.jpg,NA,Digital,ES5_34,7DAI,Soybean,AG4632,DMCC2127,Stationary,100fold,stemRep1,isolateRep1,sample1,WB_only,143,25.17493885
101,101,ES5,DSC_0631.sample2.clean.jpg,NA,Digital,ES5_34,7DAI,Soybean,AG4632,DMCC2127,Stationary,100fold,stemRep1,isolateRep1,sample2,WB_only,195.1,30.80826385
102,102,ES5,DSC_0631.sample3.clean.jpg,NA,Digital,ES5_34,7DAI,Soybean,AG4632,DMCC2127,Stationary,100fold,stemRep1,isolateRep1,sample3,WB_only,247.1,35.92256047
103,103,ES5,DSC_0024.sample1.clean.jpg,NA,Digital,ES5_35,7DAI,Soybean,AG4632,DMCC2127,Stationary,100fold,stemRep2,isolateRep1,sample1,WB_only,92.7,18.99336119
104,104,ES5,DSC_0024.sample2.clean.jpg,NA,Digital,ES5_35,7DAI,Soybean,AG4632,DMCC2127,Stationary,100fold,stemRep2,isolateRep1,sample2,WB_only,75,16.5496884
105,105,ES5,DSC_0024.sample3.clean.jpg,NA,Digital,ES5_35,7DAI,Soybean,AG4632,DMCC2127,Stationary,100fold,stemRep2,isolateRep1,sample3,WB_only,89.6,18.57805338
106,106,ES5,DSC_0248.sample1.clean.jpg,NA,Digital,ES5_36,7DAI,Soybean,AG4632,DMCC2127,Stationary,100fold,stemRep3,isolateRep1,sample1,WB_only,97,19.56147628
107,107,ES5,DSC_0248.sample2.clean.jpg,NA,Digital,ES5_36,7DAI,Soybean,AG4632,DMCC2127,Stationary,100fold,stemRep3,isolateRep1,sample2,WB_only,90.6,18.71256528
108,108,ES5,DSC_0248.sample3.clean.jpg,NA,Digital,ES5_36,7DAI,Soybean,AG4632,DMCC2127,Stationary,100fold,stemRep3,isolateRep1,sample3,WB_only,120.7,22.54808823
